city,state_id,state_name,county_name,lat,lng,population,density,zips
Madisonville,LA,Louisiana,St. Tammany,30.4003,-90.1653,981,149.9,70447
Accomac,VA,Virginia,Accomack,37.7196,-75.6673,981,927.8,23301
Liberty Center,OH,Ohio,Henry,41.4436,-84.0078,981,366.7,43532
Honalo,HI,Hawaii,Hawaii,19.581,-155.8985,981,13.9,96725
Yermo,CA,California,San Bernardino,34.9073,-116.8235,981,583.8,92398
French Settlement,LA,Louisiana,Livingston,30.3156,-90.8031,981,138.9,70733
Paw Paw,IL,Illinois,Lee,41.6877,-88.98,981,631.9,61353
Lake Kathryn,FL,Florida,Lake,29.0072,-81.4906,980,135.1,32767
Bayside Gardens,OR,Oregon,Tillamook,45.7143,-123.9165,980,381.7,97131 97130
Clarkfield,MN,Minnesota,Yellow Medicine,44.7907,-95.8079,980,334.4,56223
Allison,IA,Iowa,Butler,42.752,-92.7957,980,129.1,50602
Loup City,NE,Nebraska,Sherman,41.2766,-98.9677,980,401.7,68853
McNary,AZ,Arizona,Apache,34.0923,-109.8541,980,66.7,85930
Laurel,NY,New York,Suffolk,40.9728,-72.556,980,126.1,11948 11952
Pond Creek,OK,Oklahoma,Grant,36.6679,-97.8024,980,445.7,73766
Sidney,IL,Illinois,Champaign,40.025,-88.0721,980,606.6,61877
Hooper,NE,Nebraska,Dodge,41.6116,-96.5487,980,555.9,68031
Port Republic,NJ,New Jersey,Atlantic,39.5328,-74.4852,980,50.7,8241
Lake Park,GA,Georgia,Lowndes,30.6851,-83.1873,980,234.4,31636
Marion Center,MA,Massachusetts,Plymouth,41.7042,-70.7629,980,369.3,2738
Royalton,PA,Pennsylvania,Dauphin,40.1873,-76.7269,979,1155.2,17057
New Market,PA,Pennsylvania,York,40.223,-76.8561,979,846.8,17070
Atwood,IL,Illinois,Piatt,39.7992,-88.4626,979,615.7,61913
Fairview,MT,Montana,Richland,47.852,-104.051,979,471.8,59221
Richland,MI,Michigan,Kalamazoo,42.3762,-85.4553,979,372.5,49083
Minturn,CO,Colorado,Eagle,39.5463,-106.3871,978,47.2,81649 81645
Wink,TX,Texas,Winkler,31.7545,-103.1541,978,323.7,79789
Barker Heights,NC,North Carolina,Henderson,35.3104,-82.4412,978,380.2,28792
Hide-A-Way Hills,OH,Ohio,Hocking,39.6551,-82.466,978,144.9,43107 43155 43138
Hobson City,AL,Alabama,Calhoun,33.6148,-85.8561,978,361.1,36203 36201
Utica,MS,Mississippi,Hinds,32.1061,-90.6221,977,126,39175
Dortches,NC,North Carolina,Nash,36.0114,-77.8572,976,46.6,27804 27809
Convoy,OH,Ohio,Van Wert,40.9174,-84.705,976,603,45832
Howard,CO,Colorado,Fremont,38.4098,-105.8424,976,22.5,81233
Lydia,LA,Louisiana,Iberia,29.9263,-91.7813,976,221.5,70560 70569
Ottoville,OH,Ohio,Putnam,40.9342,-84.3383,976,398.1,45876
Arapahoe,NE,Nebraska,Furnas,40.3052,-99.898,976,387.9,68922
Worthing,SD,South Dakota,Lincoln,43.33,-96.7683,976,671.8,57077
Potomac Park,MD,Maryland,Allegany,39.6124,-78.8082,976,740.6,21502
South Wallins,KY,Kentucky,Harlan,36.8152,-83.4044,976,59.7,40873
Rosiclare,IL,Illinois,Hardin,37.4239,-88.3501,975,194.2,62982
Kekoskee,WI,Wisconsin,Dodge,43.5019,-88.5863,975,12,53032 53050
Vaughn,MT,Montana,Cascade,47.5523,-111.5608,975,105.3,59404 59487 59403
Clarksburg,TN,Tennessee,Carroll,35.8705,-88.3937,975,151.1,38390 38344
Alice Acres,TX,Texas,Jim Wells,27.7119,-98.108,975,63.9,78332
El Rito,NM,New Mexico,Rio Arriba,36.338,-106.1844,975,91.6,87530
Pleasant Hill,TX,Texas,Polk,31.0033,-94.7936,975,142.2,75939
Millersport,OH,Ohio,Fairfield,39.898,-82.5387,974,404.3,43046
Campbell,TX,Texas,Hunt,33.1483,-95.9532,974,281.6,75422
Anita,IA,Iowa,Cass,41.4437,-94.766,974,211.9,50020
Celeste,TX,Texas,Hunt,33.2896,-96.1945,974,279.8,75423
Yemassee,SC,South Carolina,Beaufort,32.6733,-80.8515,974,46.4,29945
Harrison,IL,Illinois,Jackson,37.7979,-89.3364,974,178.6,62966
Cavetown,MD,Maryland,Washington,39.6426,-77.5933,974,197.5,21783 21720
Cateechee,SC,South Carolina,Pickens,34.7694,-82.7767,973,735.7,29630
Sentinel,OK,Oklahoma,Washita,35.157,-99.1736,973,603.5,73664
