City,Total,Male,Female
South Van Horn,37.7,40.2,37.6
Stebbins,27.5,25.5,30.1
Steele Creek,39.1,37.8,40.4
Sterling,47.6,48.8,46.1
Stevens Village,52.5,,
Stony River,26.1,13.5,26.8
Sunrise,,,
Susitna,,,
Susitna North,44.2,43.7,45.1
Sutton-Alpine,40.5,39,47.8
Takotna,11.5,10.8,11.7
Talkeetna,41.5,42.8,41.1
Tanacross,32.3,37,23.5
Tanaina,34.9,35,34.7
Tanana,37.3,38.5,37.3
Tatitlek,48.3,39,48.5
Tazlina,40.5,44.3,36.9
Teller,28.9,27,35.8
Tenakee Springs,64,65.1,63.5
Tetlin,25.6,26.8,23.3
Thorne Bay,53.4,54.6,49.2
Togiak,30.5,34.9,26.3
Tok,46.7,46.4,47.4
Toksook Bay,24.3,27.1,22.4
Tolsona,,,
Tonsina,,,
Trapper Creek,63.4,64.2,61.8
Tuluksak,33.9,33.9,19.5
Tuntutuliak,28.2,21.3,29.2
Tununak,23.7,23.6,24
Twin Hills,34.8,29.3,48.5
Two Rivers,54.3,63.3,49.8
Tyonek,34.5,29.7,40.7
Ugashik,,,
Unalakleet,41.1,41.4,40.1
Unalaska,38.7,38.3,39.6
Upper Kalskag,18.9,18.8,19.3
Utqiaġvik,30.7,30,31
Valdez,38.8,37.7,39.4
Venetie,25.6,40.5,22.1
Wainwright,40.8,47.2,26.3
Wales,24,27.3,18
Wasilla,35.9,34.2,38.5
Whale Pass,63.1,63.3,60.6
White Mountain,31.7,33.4,31.1
Whitestone,40.5,27.9,
Whitestone Logging Camp,,,
Whittier,36.5,46.2,28.8
Willow,46.2,47.6,44.5
Willow Creek,60.4,59.7,65.5
Wiseman,,,
Womens Bay,35.5,35.5,35.5
Wrangell,48.9,51.3,46.4
Yakutat,41.3,46.5,35.3
